CASENO,D,Document Name,MediaType,quote_start,quote_end,start_time,end_time,SY,SX,EY,EX,DG_Imported survey data,DG_What is your ethnicity?::Hispanic or Latino,DG_What is your ethnicity?::Non-Hispanic or Latino,DG_What is your racial background?::American Indian or Alaska Native,DG_What is your racial background?::Asian,DG_What is your racial background?::Black or African American,DG_What is your racial background?::More than one race,DG_What is your racial background?::Native Hawaiian or Other Pacific Islander,DG_What is your racial background?::Other/I'll type it below,DG_What is your racial background?::White,DG_Which of the following most accurately describes you?You may choose more than one.::Female,DG_Which of the following most accurately describes you?You may choose more than one.::I prefer not to say,DG_Which of the following most accurately describes you?You may choose more than one.::I'll type it below,DG_Which of the following most accurately describes you?You may choose more than one.::Intersex,DG_Which of the following most accurately describes you?You may choose more than one.::Male,DG_Which of the following most accurately describes you?You may choose more than one.::Non-binary,Are you planning on going into a career in the geosciences after you graduate? Please explain.,Awareness of geoscience,Burnout,Career development activities,Connection/love of nature,Course selection,Covid-19 impacts,Cultural differences,Department academics,Department culture,Department funding,"Did you ever consider leaving your geoscience major? If so, why?","Did you switch from a different major into your geoscience major? If so, what was your original major and why did you choose geoscience?",Effective instruction,Encounters with ageism,Encounters with homophobia,Encounters with racism,Encounters with sexism,Engaging geoscience course content,Ethnic cultural values and socialization,Extracurricular activities,Family commitments,Family support,Field experiences,Fiscal abilities,Geoscience culture,Geoscience internships,Geoscience job market,Geoscience self-efficacy,Helping others,"If there are any other aspects of your identity you would like to share, please add it below:","If you would like to discuss any of your answers, you may do so below:",Imposter syndrome,Indigenous knowledge,Interest,Introductory Geoscience,Knowledge of geoscience careers,Lab/reading groups,Math self-efficacy,Mental health,Mentors,Outdoor experiences,Outdoors work,Peer support,Personal characteristics,Physical accessibility,Protecting the environment,Remote modality,Representation in faculty and staff,Required geoscience courses,Required STEM courses,Research experiences,Respect from professors,Role models,Salary,Sense of belonging,Sentiment: Negative,Sentiment: Positive,Teaching experiences,Travel,"Were there any important aspects of your experience as a geoscience major that were not listed above? If so, please describe them.",What was the main reason you chose your geoscience major?,You may also state your gender identity in your own words below:,You may also state your racial/ethnic identity in your own words below:,CG_Codes from Survey
Q3_3,3,Case 3,text,445,532,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Q3_4,3,Case 3,text,629,668,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q4_1,4,Case 4,text,58,70,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Q4_2,4,Case 4,text,137,187,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Q4_3,4,Case 4,text,326,407,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q4_4,4,Case 4,text,504,590,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q5_1,5,Case 5,text,58,64,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Q5_2,5,Case 5,text,131,135,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Q5_3,5,Case 5,text,274,311,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q5_4,5,Case 5,text,408,430,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q5_5,5,Case 5,text,563,649,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Q5_6,5,Case 5,text,745,800,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q6_1,6,Case 6,text,58,77,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Q6_2,6,Case 6,text,144,145,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Q6_3,6,Case 6,text,284,285,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q6_4,6,Case 6,text,382,434,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q6_5,6,Case 6,text,567,568,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Q7_1,7,Case 7,text,58,69,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Q7_2,7,Case 7,text,136,168,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Q7_3,7,Case 7,text,307,308,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q7_4,7,Case 7,text,405,429,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q8_1,8,Case 8,text,71,239,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q8_2,8,Case 8,text,299,337,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Q8_3,8,Case 8,text,404,405,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Q8_4,8,Case 8,text,544,545,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q8_5,8,Case 8,text,642,682,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q9_1,9,Case 9,text,58,147,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Q9_2,9,Case 9,text,214,331,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Q9_3,9,Case 9,text,470,472,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q9_4,9,Case 9,text,569,659,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q9_5,9,Case 9,text,792,794,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Q9_6,9,Case 9,text,890,910,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q10_1,10,Case 10,text,58,191,,,,,,,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Q10_2,10,Case 10,text,258,391,,,,,,,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Q10_3,10,Case 10,text,530,531,,,,,,,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q10_4,10,Case 10,text,628,759,,,,,,,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q11_1,11,Case 11,text,58,107,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Q11_2,11,Case 11,text,174,175,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Q11_3,11,Case 11,text,314,315,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q11_4,11,Case 11,text,412,442,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q11_5,11,Case 11,text,575,576,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Q12_1,12,Case 12,text,58,76,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Q12_2,12,Case 12,text,143,144,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Q12_3,12,Case 12,text,283,330,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q12_4,12,Case 12,text,427,472,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q12_5,12,Case 12,text,605,607,,,,,,,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Q13_1,13,Case 13,text,58,65,,,,,,,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Q13_2,13,Case 13,text,132,133,,,,,,,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Q13_3,13,Case 13,text,272,286,,,,,,,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q13_4,13,Case 13,text,383,405,,,,,,,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
